"E_nu, GeV","nu (CC), pb","nu (NC), pb","anu (CC), pb","anu (NC), pb"
50,0.32,0.1,0.15,0.05
100,0.65,0.2,0.33,0.12
200,1.3,0.41,0.69,0.24
500,3.2,1,1.8,0.61
1000,6.2,2,3.6,1.12
2000,12,3.8,7,2.4
5000,27,8.6,17,5.8
10000,47,15,31,11
20000,77,26,55,19
50000,140,49,110,39
100000,210,75,180,64
200000,310,110,270,99
500000,490,180,460,170
1.00E+06,690,260,660,240
2.00E+06,950,360,920,350
5.00E+06,1400,540,1400,530
1.00E+07,1900,730,1900,730
2.00E+07,2600,980,2500,980
5.00E+07,3700,1400,3700,1400
1.00E+08,4800,1900,4800,1900
2.00E+08,6200,2400,6200,2400
5.00E+08,8700,3400,8700,3400
1.00E+09,11000,4400,11000,4400
2.00E+09,14000,5600,14000,5600
5.00E+09,19000,7600,19000,7600
1.00E+10,24000,9600,24000,9600
2.00E+10,30000,12000,30000,12000
5.00E+10,39000,16000,39000,16000
1.00E+11,48000,20000,48000,20000
2.00E+11,59000,24000,59000,24000
5.00E+11,75000,31000,75000,31000
